sample,slice,method,pore_fraction,pore_pixels,total_pixels
sample_01,set1sample2raw_0450,otsu,0.241551,239087,989800
sample_01,set1sample2raw_0450,yen,0.684716,677732,989800
sample_01,set1sample2raw_0450,bernsen,0.590081,584062,989800
sample_02,set1sample3raw_0450,otsu,0.287882,288125,1000844
sample_02,set1sample3raw_0450,yen,0.643628,644171,1000844
sample_02,set1sample3raw_0450,bernsen,0.536762,537215,1000844
sample_03,set1sample4raw_0450,otsu,0.247095,245573,993840
sample_03,set1sample4raw_0450,yen,0.740163,735604,993840
sample_03,set1sample4raw_0450,bernsen,0.618701,614890,993840
sample_04,set1sample5raw_0374,otsu,0.247044,245522,993840
sample_04,set1sample5raw_0374,yen,0.657969,653916,993840
sample_04,set1sample5raw_0374,bernsen,0.539713,536388,993840
sample_05,set1sample6raw_0450,otsu,0.816047,813429,996792
sample_05,set1sample6raw_0450,yen,0.77807,775574,996792
sample_05,set1sample6raw_0450,bernsen,0.748074,745674,996792
